id,难度等级,难度描述,画风,场景,主体,物理属性.状态,物理属性.规则,物理属性.纹理,物理属性.透光度,空间布局,动作,表情,特效,灯光.色调,灯光.方向,相机.角度,相机.运镜,相机.构图,相机.时间,相机.景别,promptability_score,promptability_bucket,primary_tags,secondary_tags,stylistic_tags
1,S1 最简,单物品/单人物 + 单场景 + 单镜头,写实,室外,动物,固体,科幻,光滑,不透明,内外关系,无,怒:弱,爆炸,冷光,逆光,仰拍,摇,对称,常规速度,远景,0.84,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
2,S1 最简,单物品/单人物 + 单场景 + 单镜头,哥特,室外,物体,固体,现实,光滑,不透明,左右,无,无,无,暖光,侧光,俯拍,移,三分法,倒放,全景,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
3,S1 最简,单物品/单人物 + 单场景 + 单镜头,卡通,室内,动物,固体,科幻,毛发,不透明,前后,走路,哀:弱,爆炸,中性,顺光,俯拍,拉,对称,常规速度,近景,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
4,S1 最简,单物品/单人物 + 单场景 + 单镜头,哥特,室内,人类,固体,现实,毛发,不透明,上下,跳跃,喜:中,光效,暖光,顶光,平拍,推,引导线,延时摄影,中景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
5,S1 最简,单物品/单人物 + 单场景 + 单镜头,写实,室内,人类,固体,现实,光滑,不透明,上下,打斗,喜:弱,光效,冷光,顺光,仰拍,跟,三分法,慢动作,远景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
6,S2 简单,单物品/单人物 + 多场景 + 单镜头,写实,室内 / 室外,动物,固体,现实,毛发,不透明,上下,打斗,喜:弱,爆炸,冷光,顶光,平拍,跟,三分法,常规速度,近景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
7,S2 简单,单物品/单人物 + 多场景 + 单镜头,哥特,室内 / 室外,人类,固体,科幻,光滑,不透明,内外关系,后空翻,喜:中,无,冷光,侧光,仰拍,拉,三分法,慢动作,远景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
8,S2 简单,单物品/单人物 + 多场景 + 单镜头,卡通,室内 / 室外,人类,固体,现实,光滑,不透明,前后,跳跃,怒:中,光效,暖光,顺光,俯拍,移,引导线,延时摄影,全景,0.84,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
9,S2 简单,单物品/单人物 + 多场景 + 单镜头,哥特,室内 / 室外,动物,固体,科幻,毛发,不透明,左右,走路,怒:弱,爆炸,中性,逆光,仰拍,摇,对称,倒放,中景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
10,S2 简单,单物品/单人物 + 多场景 + 单镜头,写实,室外 / 室内,物体,刚体,现实,光滑,不透明,上下,无,无,光效,暖光,顺光,俯拍,推,对称,常规速度,远景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
11,S3 中等,多物品/多人物 + 单场景 + 单镜头,写实,室内,动物 / 物体 / 人类,非刚体,现实,毛发,不透明,前后,打斗,喜:中,无,暖光,顺光,俯拍,推,对称,倒放,全景,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
12,S3 中等,多物品/多人物 + 单场景 + 单镜头,哥特,室内,人类 / 物体,液体,现实,光滑,半透明,内外关系,走路,怒:中,光效,暖光,顺光,平拍,跟,三分法,延时摄影,远景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
13,S3 中等,多物品/多人物 + 单场景 + 单镜头,写实,室内,物体 / 动物,气体,科幻,光滑,透明,上下,无,喜:弱,爆炸,中性,侧光,仰拍,拉,对称,常规速度,中景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
14,S3 中等,多物品/多人物 + 单场景 + 单镜头,哥特,室外,人类 / 物体 / 动物,刚体,科幻,毛发,透明,左右,跳跃,怒:强,爆炸,冷光,逆光,仰拍,摇,三分法,慢动作,远景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
15,S3 中等,多物品/多人物 + 单场景 + 单镜头,卡通,室外,人类 / 动物,固体,现实,光滑,不透明,上下,跑步,喜:强,光效,冷光,顶光,俯拍,移,引导线,常规速度,近景,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
16,S4 复杂,多物品/多人物 + 多场景 + 单镜头,哥特,室内 / 室外,人类 / 物体,非刚体,现实,光滑,透明,上下,跳跃,怒:中,爆炸,暖光,逆光,俯拍,拉,三分法,倒放,近景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
17,S4 复杂,多物品/多人物 + 多场景 + 单镜头,卡通,室内 / 室外,动物 / 人类 / 物体,气体,现实,光滑,半透明,前后,后空翻,喜:弱,无,冷光,顺光,仰拍,摇,对称,延时摄影,全景,0.76,borderline,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
18,S4 复杂,多物品/多人物 + 多场景 + 单镜头,写实,室内 / 室外,动物 / 人类,固体,科幻,光滑,不透明,上下,打斗,怒:强,光效,冷光,顶光,平拍,跟,引导线,常规速度,远景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
19,S4 复杂,多物品/多人物 + 多场景 + 单镜头,哥特,室外 / 室内,物体 / 动物,液体,现实,毛发,透明,内外关系,跑步,无,爆炸,中性,顺光,仰拍,推,对称,慢动作,中景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
20,S4 复杂,多物品/多人物 + 多场景 + 单镜头,写实,室外 / 室内,人类 / 物体 / 动物,固体,科幻,毛发,半透明,左右,走路,喜:强,光效,暖光,侧光,俯拍,移,三分法,常规速度,远景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
21,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,写实,室外 / 室内,物体 / 人类,固体,现实,光滑,半透明,上下,走路,喜:弱,爆炸,暖光,侧光,仰拍,推 → 摇,引导线,延时摄影,远景 → 近景,0.84,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
22,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,写实,室内 / 室外,动物 / 物体 / 人类,液体,科幻,毛发,透明,左右,跳跃,怒:中,光效,冷光,顺光,俯拍,推 → 移,三分法,常规速度,远景 → 中景,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
23,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,卡通,室外 / 室内,物体 / 动物 / 人类,气体,科幻,毛发,透明,内外关系,跑步,喜:中,爆炸,暖光,逆光,平拍,推 → 拉,对称,常规速度,远景 → 全景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
24,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,哥特,室内 / 室外,人类 / 动物,固体,现实,光滑,不透明,上下,打斗,喜:强,无,中性,顶光,仰拍,推 → 拉 → 移,三分法,慢动作,远景 → 全景 → 中景,1.0,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
25,S5 极复杂,多物品/多人物 + 多场景 + 多镜头,哥特,室外 / 室内,动物 / 物体,非刚体,现实,光滑,半透明,前后,无,怒:弱,光效,冷光,顺光,俯拍,推 → 拉 → 摇,对称,倒放,远景 → 全景 → 近景,0.92,easy_to_visualize,scenes | subjects | action | camera_angle | camera_movement | time_mode | shot_size,spatial_layout | emotion | effect | lighting_tone | lighting_direction | composition,style | physical_state | physical_rule | texture | opacity
